designation,BLS_period,BLS_period_SNR,BLS_duration,BLS_depth,BLS_transit_time,channel,quarter,ra,dec
Gaia EDR3 2104814389164263168,0.5951714860537374,1497.167118483995,0.051,0.0431604451791308,2455276.8553535114,3,5,281.86328937279256,42.63954171035307
Gaia EDR3 2100490555389337984,0.5803609432195453,1095.9241530582904,0.051,0.1112632833541065,2455276.824931745,9,5,286.65936381573147,39.71727091966999
Gaia EDR3 2100240347774313728,1.67273558654763,335.2244536422428,0.099,0.1097965162147659,2455276.539999682,12,5,285.51469969632365,39.09959724890141
Gaia EDR3 2107265956496766208,0.6045844174951982,15434.251611310436,0.45,0.0508782518299281,2455276.898714235,17,5,285.19178523406384,46.00027435414932
Gaia EDR3 2107266536313762816,1.6403545707583025,2427.490416323245,0.099,0.1268428136130506,2455277.3412142354,17,5,285.1760349727964,46.016328076525
Gaia EDR3 2106327622103110784,20.544483254571567,363.5674513102573,0.45,0.0597525983901338,2455296.879920868,18,5,286.15074464365466,45.04802939659376
Gaia EDR3 2102900959754861440,1.4816479548743682,520.2924057540262,0.099,0.0332210632355648,2455276.734873853,22,5,288.4723971529344,42.70924014297888
Gaia EDR3 2101136415390982528,0.7526099359464891,527.4043464864491,0.45,0.0150671805152052,2455276.7451684503,27,5,290.6482522475303,40.40227653331936
Gaia EDR3 2101136419694167040,0.7526099359464891,708.8490248824586,0.45,0.0198449879097049,2455276.7541684504,27,5,290.6480451022372,40.40322828335916
Gaia EDR3 2101033920292227584,3.734360800229064,363.1199290086844,0.051,0.0663863464964152,2455280.0167424018,28,5,289.30971828861607,39.74586580991761
Gaia EDR3 2051871182004752512,0.5314084973630645,633.1521742650298,0.45,0.0284813000943116,2455276.7629330326,31,5,292.58067313301086,38.005913731622506
Gaia EDR3 2051774184464360064,0.8164204005759061,194.8291501950389,0.099,0.0103074685204612,2455276.893508328,32,5,291.33557884990495,37.38855843469648
Gaia EDR3 2133602451140200192,0.9850358096326434,67.12462572394152,0.174,0.0235703107306681,2455277.216754299,36,5,286.14287678733206,50.03164963668372
Gaia EDR3 2130912843839236224,25.23513081517628,2292.969981916352,0.249,0.0335571774709344,2455293.013005713,40,5,288.67476583270684,47.63597987929453
Gaia EDR3 2101752936479788544,0.5523658353343253,7114.184054549968,0.051,0.0941365220001848,2455276.7556615006,45,5,291.6903296615888,42.216780287361495
Gaia EDR3 2101753516292218624,0.5306874150815217,2158.7251902107664,0.45,0.0797808737986339,2455276.8171615005,45,5,291.700455420957,42.25831355664601
Gaia EDR3 2101753520591885568,0.5306874150815217,1791.8424805732952,0.45,0.0709487950072404,2455276.8171615005,45,5,291.69936847211994,42.25801587463548
Gaia EDR3 2101753619371695872,0.8856823979591837,599.3455531185637,0.099,0.0412200637396222,2455277.2056615003,45,5,291.6679919588049,42.25997159064366
Gaia EDR3 2053614118393506176,0.5320758532246135,110356.06312606612,0.099,0.1884299845203502,2455276.7255779672,48,5,292.48502174192384,41.31558586869537
Gaia EDR3 2053614182812468480,0.5320758532246135,129.87073217159465,0.099,0.0099783697728374,2455276.7255779672,48,5,292.4817282213891,41.319419370918745
Gaia EDR3 2052503164977145088,0.551766380823097,102.58795580171514,0.45,0.001046803528647,2455276.795922923,49,5,293.6665091110536,39.82012082888516
Gaia EDR3 2052503164977145472,0.551766380823097,4784.072179314004,0.45,0.1266126070670311,2455276.795922923,49,5,293.66714075748183,39.82344305082061
Gaia EDR3 2076505018468886784,0.5421177236007446,56.00997256898406,0.45,0.0070725326366579,2455276.7148494106,50,5,295.0188236663567,40.36815578171387
Gaia EDR3 2076208292075451136,0.6464814958491737,216.54829445170068,0.399,0.008298458646225,2455276.8902677386,51,5,295.7424671944007,39.429310343098784
Gaia EDR3 2076209357217808384,0.6180335502161274,249.24130434297027,0.399,0.0553610049235919,2455276.7222677385,51,5,295.7254843315316,39.47699166406041
Gaia EDR3 2076209456001789056,6.810998592252848,205.8810848578874,0.15,0.0102794645524872,2455278.0737677384,51,5,295.75031682841035,39.45948580062886
Gaia EDR3 2129514093249096832,0.875163015413162,2212.4746171290462,0.45,0.0155446168538508,2455277.1684172144,59,5,290.737036882965,48.58317252921119
Gaia EDR3 2127957734541969152,0.6581132638442485,2247.628500558493,0.051,0.1086778292415074,2455276.884613063,61,5,293.8830111320591,45.23841939314272
Gaia EDR3 2128267968619535872,0.51572251353907,108.8517955286384,0.051,0.0023126193958214,2455276.959706081,62,5,293.0200146635143,46.25092380124951
Gaia EDR3 2128268587094813056,0.5852376595175989,1278.5726828080951,0.45,0.0141158172310247,2455276.715206081,62,5,293.00784708218055,46.23807313724301
Gaia EDR3 2128160285200885888,0.5620131074564115,10627.814180196654,0.45,0.0522484777194379,2455276.844143124,63,5,294.3783557955691,46.82046159190661


Gaia EDR3 2077246024892437120,12.0629750271444,265.0248203820805,0.45,0.00831433512094,2455278.2358717625,65,5,295.9041636301286,42.74680720268145
Gaia EDR3 2078117181696007296,0.9835114213489224,20997.42877953541,0.099,0.112806416780268,2455277.3974641,66,5,295.012986131972,43.77305693940825
Gaia EDR3 2078735858841858816,2.414770211635526,206.6955215219956,0.174,0.0167211454240952,2455278.490808143,68,5,297.1912943626484,43.290411673107485
Gaia EDR3 2076789723264283008,13.362883107626496,202.17523867973708,0.45,0.0150310771407126,2455279.483763726,69,5,296.9213207279709,41.205257816291976
Gaia EDR3 2076789727566520192,3.524663360985123,302.20113056603,0.45,0.0080076538897774,2455278.685763726,69,5,296.914190361794,41.20679696735606
